sintoma_en,sintoma_es
itching,picazón
skin_rash,erupción en la piel
nodal_skin_eruptions,erupciones nodulares en la piel
continuous_sneezing,estornudos continuos
shivering,escalofríos
chills,escalofríos
joint_pain,dolor en las articulaciones
stomach_pain,dolor de estómago
acidity,acidez
ulcers_on_tongue,úlceras en la lengua
muscle_wasting,pérdida muscular
vomiting,vómitos
burning_micturition,ardor al orinar
spotting_urination,sangrado al orinar
fatigue,fatiga
weight_gain,aumento de peso
anxiety,ansiedad
cold_hands_and_feets,manos y pies fríos
mood_swings,cambios de humor
weight_loss,pérdida de peso
restlessness,inquietud
lethargy,letargo
patches_in_throat,manchas en la garganta
irregular_sugar_level,nivel de azúcar irregular
cough,tos
high_fever,fiebre alta
sunken_eyes,ojos hundidos
breathlessness,dificultad para respirar
sweating,sudoración
dehydration,deshidratación
indigestion,indigestión
headache,dolor de cabeza
yellowish_skin,piel amarillenta
dark_urine,orina oscura
nausea,náuseas
loss_of_appetite,pérdida de apetito
pain_behind_the_eyes,dolor detrás de los ojos
back_pain,dolor de espalda
constipation,estreñimiento
abdominal_pain,dolor abdominal
diarrhoea,diarrea
mild_fever,fiebre leve
yellow_urine,orina amarilla
yellowing_of_eyes,ojos amarillentos
acute_liver_failure,fallo hepático agudo
fluid_overload,sobrecarga de líquidos
swelling_of_stomach,hinchazón del estómago
swelled_lymph_nodes,ganglios linfáticos inflamados
